parasite,host_harmonized,freq,host_phylum,host_class,host_order,host_family,parasite_type,parasite_speciesLevel,parasite_IsZonotic,parasite_nbStudies
Angiostrongylus_cantonensis,Lissachatina fulica,1,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Alouatta caraya,1,Chordata,Mammalia,Primates,Atelidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Pomacea canaliculata,1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Austropeplea tomentosa,1,Mollusca,Gastropoda,NA,Lymnaeidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Bandicota bengalensis,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Bandicota indica,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Biomphalaria alexandrina,1,Mollusca,Gastropoda,NA,Planorbidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Biomphalaria glabrata,1,Mollusca,Gastropoda,NA,Planorbidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Bradybaena similaris,1,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Bulinus africanus,1,Mollusca,Gastropoda,NA,Bulinidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Bulinus truncatus,1,Mollusca,Gastropoda,NA,Bulinidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Bulinus tropicus,1,Mollusca,Gastropoda,NA,Bulinidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Camaena cicatricosa,1,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Canis lupus,1,Chordata,Mammalia,Carnivora,Canidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Canis familiaris,1,Chordata,Mammalia,Carnivora,Canidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Cavia porcellus,1,Chordata,Mammalia,Rodentia,Caviidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Cipangopaludina chinensis,1,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Crassostrea rhizophorae,1,Mollusca,Bivalvia,Ostreida,Ostreidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Crassostrea virginica,1,Mollusca,Bivalvia,Ostreida,Ostreidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Deroceras laeve,1,Mollusca,Gastropoda,Stylommatophora,Agriolimacidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Equus caballus,1,Chordata,Mammalia,Perissodactyla,Equidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Euglandina rosea,1,Mollusca,Gastropoda,Stylommatophora,Spiraxidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Farcimen tortum,1,Mollusca,Gastropoda,Architaenioglossa,Megalomastomatidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Homo sapiens,1,Chordata,Mammalia,Primates,Hominidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Hylobates lar,1,Chordata,Mammalia,Primates,Hylobatidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Jeanneretia bicincta,1,Mollusca,Gastropoda,Stylommatophora,Cepolidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Laevicaulis alte,1,Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Lanistes boltenianus,1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Liguus fasciatus,1,Mollusca,Gastropoda,Stylommatophora,Orthalicidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Limacus flavus,1,Mollusca,Gastropoda,Stylommatophora,Limacidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Ranoidea aurea,1,Chordata,Amphibia,Anura,Pelodryadidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Ladislavella elodes,1,Mollusca,Gastropoda,NA,Lymnaeidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Radix natalensis,1,Mollusca,Gastropoda,NA,Lymnaeidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Lymnaea stagnalis,1,Mollusca,Gastropoda,NA,Lymnaeidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Lynx rufus,1,Chordata,Mammalia,Carnivora,Felidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Macrobrachium lar,1,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Macrochlamys indica,1,Mollusca,Gastropoda,Stylommatophora,Ariophantidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Macropus rufogriseus,1,Chordata,Mammalia,Diprotodontia,Macropodidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Marisa cornuarietis,1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Melomys burtoni,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Mesodon thyroidus,1,Mollusca,Gastropoda,Stylommatophora,Polygyridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Mus musculus,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Niviventer andersoni,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Nycticebus coucang,1,Chordata,Mammalia,Primates,Lorisidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Oryctolagus cuniculus,1,Chordata,Mammalia,Lagomorpha,Leporidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Meghimatium bilineatum,1,Mollusca,Gastropoda,Stylommatophora,Philomycidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Philomycus carolinianus,1,Mollusca,Gastropoda,Stylommatophora,Philomycidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Physella acuta,1,Mollusca,Gastropoda,NA,Physidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Planorbis intermixtus,1,Mollusca,Gastropoda,NA,Planorbidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Planorbis planorbis,1,Mollusca,Gastropoda,NA,Planorbidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Daedalochila triodontoides,1,Mollusca,Gastropoda,Stylommatophora,Polygyridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Polymita muscarum,1,Mollusca,Gastropoda,Stylommatophora,Cepolidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Polymita picta,1,Mollusca,Gastropoda,Stylommatophora,Cepolidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Pomacea paludosa,1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Pomacea poeyana,1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Rattus annandalei,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Rattus argentiventer,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Berylmys bowersi,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Rattus exulans,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Rattus tanezumi,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Rattus losea,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Rattus nitidus,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Niviventer niviventer,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Rattus norvegicus,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Rattus rattus,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Rattus sordidus,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,53
Angiostrongylus_cantonensis,Subulina octona,1,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Suncus murinus,1,Chordata,Mammalia,Soricomorpha,Soricidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Tetrentodon filiolus,1,Mollusca,Gastropoda,Stylommatophora,Urocoptidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Tetrentodon perdidoensis,1,Mollusca,Gastropoda,Stylommatophora,Urocoptidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Trichochloritis hungerfordiana,1,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Varanus bengalensis,1,Chordata,Squamata,NA,Varanidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Veronicella cubensis,1,Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Viana regina,1,Mollusca,Gastropoda,Cycloneritida,Helicinidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Zachrysia auricoma,1,Mollusca,Gastropoda,Stylommatophora,Zachrysiidae,Helminth,y,y,53
Angiostrongylus_cantonensis,Zachrysia guanensis,1,Mollusca,Gastropoda,Stylommatophora,Zachrysiidae,Helminth,y,y,53
Aelurostrongylus_abstrusus,Lissachatina fulica,1,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Biomphalaria glabrata,1,Mollusca,Gastropoda,NA,Planorbidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Canis familiaris,1,Chordata,Mammalia,Carnivora,Canidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Cepaea hortensis,1,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Cernuella virgata,1,Mollusca,Gastropoda,Stylommatophora,Geomitridae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Felis catus,1,Chordata,Mammalia,Carnivora,Felidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Gallus gallus,1,Chordata,Aves,Galliformes,Phasianidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Helminthoglypta californiensis,1,Mollusca,Gastropoda,Stylommatophora,Xanthonychidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Helminthoglypta nickliniana,1,Mollusca,Gastropoda,Stylommatophora,Xanthonychidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Puma yagouaroundi,1,Chordata,Mammalia,Carnivora,Felidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Leopardus geoffroyi,1,Chordata,Mammalia,Carnivora,Felidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Leopardus pardalis,1,Chordata,Mammalia,Carnivora,Felidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Limacus flavus,1,Mollusca,Gastropoda,Stylommatophora,Limacidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Lynx lynx,1,Chordata,Mammalia,Carnivora,Felidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Lynx rufus,1,Chordata,Mammalia,Carnivora,Felidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Monacha syriaca,1,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Mus musculus,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Uncia uncia,1,Chordata,Mammalia,Carnivora,Felidae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Passer domesticus,1,Chordata,Aves,Passeriformes,Passeridae,Helminth,y,n,7
Aelurostrongylus_abstrusus,Theba pisana,1,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helminth,y,n,7
Angiostrongylus_costaricensis,Lissachatina fulica,1,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Aotus nancymai,1,Chordata,Mammalia,Primates,Aotidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Ateles geoffroyi,1,Chordata,Mammalia,Primates,Atelidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Belocaulus angustipes,1,Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Biomphalaria glabrata,1,Mollusca,Gastropoda,NA,Planorbidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Biomphalaria straminea,1,Mollusca,Gastropoda,NA,Planorbidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Bradybaena similaris,1,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Didelphis virginiana,1,Chordata,Mammalia,Didelphimorphia,Didelphidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Planorbella trivolvis,1,Mollusca,Gastropoda,NA,Planorbidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Homo sapiens,1,Chordata,Mammalia,Primates,Hominidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Limacus flavus,1,Mollusca,Gastropoda,Stylommatophora,Limacidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Limax maximus,1,Mollusca,Gastropoda,Stylommatophora,Limacidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Liomys salvini,1,Chordata,Mammalia,Rodentia,Heteromyidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Lynx rufus,1,Chordata,Mammalia,Carnivora,Felidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Megalobulimus abbreviatus,1,Mollusca,Gastropoda,Stylommatophora,Strophocheilidae,Helminth,y,y,4
Angiostrongylus_costaricensis,Mus musculus,1,Chordata,Mammalia,Rodentia,Muridae,Helminth,y,y,4
Angiostrongylus_costaricensis,Oligoryzomys fulvescens,1,Chordata,Mammalia,Rodentia,Cricetidae,Helminth,y,y,4
